ชื่อเมนู (TH),ชื่อเมนู (EN),ราคา (บาท),รูปภาพ (Path),หมวดหมู่
กุ้งเทมปุระทั้งตัวรสยูสุโคโช,Whole Shrimp @Yuzu Pepper Tempura,100,images/กุ้งเทมปุระทั้งตัวรสยูสุโคโช.jpg,Side menu
ทาโกะคาราอาเกะ,Fried Octopus,120,images/ทาโกะคาราอาเกะ.jpg,Side menu
ไก่คาราอาเกะ,Fried Chicken,120,images/ไก่คาราอาเกะ.jpg,Side menu
เทมปุระรวม,Mixed Tempura Platter,140,images/เทมปุระรวม.jpg,Side menu
ซุปมิโซะหอยลาย,Clam Miso Soup,60,images/ซุปมิโซะหอยลาย.jpg,Side menu
ซุปมิโซะหอยลายกับสาหร่าย,Clam & Seaweed Miso Soup,70,images/ซุปมิโซะหอยลายกับสาหร่าย.jpg,Side menu
ซุปมิโซะสาหร่าย,Seaweed Miso Soup,60,images/ซุปมิโซะสาหร่าย.jpg,Side menu
อุด้งกับเต้าหู้ทอด,Kitsune Udon,100,images/อุด้งกับเต้าหู้ทอด.jpg,Side menu
อุด้งกับกุ้งเทมปุระ,Shrimp Tempura Udon,100,images/อุด้งกับกุ้งเทมปุระ.jpg,Side menu
ราเมงเกี๊ยวกุ้งซุปมิโซะ,Shrimp Wonton Miso Ramen,100,images/ราเมงเกี๊ยวกุ้งซุปมิโซะ.jpg,Side menu
ราเมงซุปปลามาไดกับไก่รสเกลือ,Red Sea Bream & Chicken Ramen (Salt),100,images/ราเมงซุปปลามาไดกับไก่รสเกลือ.jpg,Side menu
ราเมงซุปไก่รสโชยุ,Chicken Ramen (Shoyu),100,images/ราเมงซุปไก่รสโชยุ.jpg,Side menu
ชีสเค้ก,Cheesecake,70,,Side menu
โคร็อกเก็ตข้าวโพด,Corn Croquette,80,,Side menu
โฮมเมดชีสเค้ก,Homemade Cheesecake,100,,Side menu
สลัดแซลมอน,Salmon Salad,100,images/สลัดแซลมอน.jpg,Side menu
สลัดกุ้ง,Shrimp Salad,100,images/สลัดกุ้ง_2.jpg,Side menu
ซาชิมิรวม,Assorted Sashimi,160,,Side menu
วนิลาไอศครีม,Vanilla Ice Cream,40,images/วนิลาไอศครีม.jpg,Dessert
ฮอกไกโดไอศครีม,Hokkaido Ice Cream,40,,Dessert
ฮอกไกโดไอศครีมกับสตรอเบอร์รี่,Hokkaido Ice Cream w/ Strawberry,40,,Dessert
มันเชื่อมญี่ปุ่น,Candied Sweet Potato,40,images/มันเชื่อมญี่ปุ่น.jpg,Dessert
พาน่าคอตต้า,Homemade Panna Cotta,60,,Dessert
เค้กช็อคโกแลต,Chocolate Lava Cake,60,images/เค้กช็อคโกแลต.jpg,Dessert
วาราบิโมจิจากเกียวโต,Warabimochi,60,images/วาราบิโมจิจากเกียวโต.jpg,Dessert
วาราบิโมจิกับไอศครีมโมจิ,Warabimochi & Mochi Ice Cream,60,,Dessert
ฮอตเค้ก,Hot Cake,60,,Dessert
ฮอกไกโดมิลล์เครป,Mille Crepe,80,images/ฮอกไกโดมิลล์เครป.jpg,Dessert
ฮอกไกโดมิลล์เครปเมลบา,Mille Crepe @Melba,80,images/ฮอกไกโดมิลล์เครปเมลบา.jpg,Dessert
คาตาลาน่าไอซ์บรูเล,Catalana,80,images/คาตาลาน่าไอซ์บรูเล.jpg,Dessert
พาร์เฟต์สตรอเบอร์รี่ชีสเค้ก,Strawberry Cheesecake Parfait,120,images/พาร์เฟต์สตรอเบอร์รี่ชีสเค้ก.jpg,Dessert
กาแฟดำร้อน (ไม่ใส่น้ำตาล),Hot Black Coffee (No Sugar),40,images/กาแฟดำร้อน (ไม่ใส่น้ำตาล).jpg,Drinks
กาแฟลาเต้ร้อน (ไม่ใส่น้ำตาล),Hot Café Latte (No Sugar),40,images/กาแฟลาเต้ร้อน (ไม่ใส่น้ำตาล).jpg,Drinks
กาแฟลาเต้เย็น (ไม่ใส่น้ำตาล),Iced Café Latte (No Sugar),60,images/กาแฟลาเต้เย็น (ไม่ใส่น้ำตาล).jpg,Drinks
ชาช็อคโกแลต,Chocolate Tea,40,,Drinks
